PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
349941,2020-04-11,"Bagel w/CC, Item Only",2.49,8,19.92,2.17,1.96,0,17.96
349941,2020-04-11,"Croissant, Plain Croissant",1.59,1,1.59,0.17,0.0,0,1.59
349941,2020-04-11,"Coca-Cola Cooler Beverages, Coca-Cola",1.89,3,5.67,0.62,0.0,0,5.67
349941,2020-04-11,"Coca-Cola Cooler Beverages, Diet Coke",1.89,3,5.67,0.62,0.0,0,5.67
349941,2020-04-11,"Coca-Cola Cooler Beverages, Simply Orange Juice",2.29,3,6.87,0.75,0.0,0,6.87
349941,2020-04-11,"Coca-Cola Cooler Beverages, Sprite Lemon-Lime",1.89,1,1.89,0.21,0.0,0,1.89
349941,2020-04-11,"Dairy Cooler Beverages, Nesquik Choc LowFat",1.99,1,1.99,0.22,0.0,0,1.99
349941,2020-04-11,"Cold Brew Coffee, Medium",3.29,1,3.29,0.36,0.0,0,3.29
349941,2020-04-11,"Iced Coffee, Large, Original Blend",3.29,28,92.12,10.05,3.77,0,88.35
349941,2020-04-11,"Iced Coffee, Medium, Decaf",2.79,1,2.79,0.3,0.14,0,2.65
349941,2020-04-11,"Iced Coffee, Medium, Original Blend",2.79,27,75.33,8.22,0.42,0,74.91
349941,2020-04-11,"Iced Coffee, Small, Original Blend",2.29,7,16.03,1.75,0.0,0,16.03
349941,2020-04-11,Add Espresso Shot,0.99,6,5.94,0.65,0.0,0,5.94
349941,2020-04-11,"Cappuccino, Medium, Original",2.0,1,2.0,0.22,0.0,0,2.0
349941,2020-04-11,"Iced Latte, Large, Original",4.49,1,4.49,0.49,0.0,0,4.49
349941,2020-04-11,"Iced Latte, Medium, Original",2.0,1,2.0,0.22,0.0,0,2.0
349941,2020-04-11,"Iced Latte, Medium, Original",4.09,2,8.18,0.89,0.0,0,8.18
349941,2020-04-11,"Iced Latte, Small, Original",3.59,2,7.18,0.78,0.0,0,7.18
349941,2020-04-11,"Iced Macchiato, Large, Original",4.79,1,4.79,0.52,0.0,0,4.79
